LapNumber,Stint,Compound,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,IsAccurate,LapTimeSeconds
39.0,2.0,MEDIUM,16.0,0 days 00:01:19.215000,0 days 00:00:23.303000,0 days 00:00:31.976000,0 days 00:00:23.936000,1,True,79.215
40.0,2.0,MEDIUM,17.0,0 days 00:01:19.745000,0 days 00:00:23.413000,0 days 00:00:32.253000,0 days 00:00:24.079000,1,True,79.745
41.0,2.0,MEDIUM,18.0,0 days 00:01:18.911000,0 days 00:00:23.053000,0 days 00:00:31.906000,0 days 00:00:23.952000,1,True,78.911
42.0,2.0,MEDIUM,19.0,0 days 00:01:19.511000,0 days 00:00:23.355000,0 days 00:00:32.162000,0 days 00:00:23.994000,1,True,79.511
43.0,2.0,MEDIUM,20.0,0 days 00:01:19.499000,0 days 00:00:23.235000,0 days 00:00:32.276000,0 days 00:00:23.988000,1,True,79.499
44.0,2.0,MEDIUM,21.0,0 days 00:01:19.457000,0 days 00:00:23.023000,0 days 00:00:32.257000,0 days 00:00:24.177000,1,True,79.457
45.0,2.0,MEDIUM,22.0,0 days 00:01:18.754000,0 days 00:00:22.921000,0 days 00:00:31.967000,0 days 00:00:23.866000,1,True,78.754
46.0,2.0,MEDIUM,23.0,0 days 00:01:19.419000,0 days 00:00:23.405000,0 days 00:00:32.144000,0 days 00:00:23.870000,1,True,79.419
49.0,3.0,SOFT,5.0,0 days 00:01:17.377000,0 days 00:00:22.611000,0 days 00:00:31.288000,0 days 00:00:23.478000,1,True,77.377
50.0,3.0,SOFT,6.0,0 days 00:01:17.940000,0 days 00:00:23.343000,0 days 00:00:31.289000,0 days 00:00:23.308000,1,True,77.94
51.0,3.0,SOFT,7.0,0 days 00:01:17.115000,0 days 00:00:22.626000,0 days 00:00:31.243000,0 days 00:00:23.246000,1,True,77.115
52.0,3.0,SOFT,8.0,0 days 00:01:17.654000,0 days 00:00:23.075000,0 days 00:00:31.247000,0 days 00:00:23.332000,1,True,77.654
53.0,3.0,SOFT,9.0,0 days 00:01:17.914000,0 days 00:00:23.085000,0 days 00:00:31.416000,0 days 00:00:23.413000,1,True,77.914
54.0,3.0,SOFT,10.0,0 days 00:01:17.987000,0 days 00:00:22.985000,0 days 00:00:31.401000,0 days 00:00:23.601000,1,True,77.987
55.0,3.0,SOFT,11.0,0 days 00:01:18.363000,0 days 00:00:23.003000,0 days 00:00:31.659000,0 days 00:00:23.701000,1,True,78.363
