LapNumber,Stint,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,TrackStatus,IsAccurate,LapTimeSeconds,Driver
49.0,3.0,SOFT,5.0,0 days 00:00:22.611000,0 days 00:00:31.288000,0 days 00:00:23.478000,1,True,77.377,Lando Norris
50.0,3.0,SOFT,6.0,0 days 00:00:23.343000,0 days 00:00:31.289000,0 days 00:00:23.308000,1,True,77.94,Lando Norris
51.0,3.0,SOFT,7.0,0 days 00:00:22.626000,0 days 00:00:31.243000,0 days 00:00:23.246000,1,True,77.115,Lando Norris
52.0,3.0,SOFT,8.0,0 days 00:00:23.075000,0 days 00:00:31.247000,0 days 00:00:23.332000,1,True,77.654,Lando Norris
53.0,3.0,SOFT,9.0,0 days 00:00:23.085000,0 days 00:00:31.416000,0 days 00:00:23.413000,1,True,77.914,Lando Norris
54.0,3.0,SOFT,10.0,0 days 00:00:22.985000,0 days 00:00:31.401000,0 days 00:00:23.601000,1,True,77.987,Lando Norris
55.0,3.0,SOFT,11.0,0 days 00:00:23.003000,0 days 00:00:31.659000,0 days 00:00:23.701000,1,True,78.363,Lando Norris
56.0,3.0,SOFT,12.0,0 days 00:00:22.602000,0 days 00:00:31.610000,0 days 00:00:23.415000,1,True,77.627,Lando Norris
57.0,3.0,SOFT,13.0,0 days 00:00:23.016000,0 days 00:00:31.295000,0 days 00:00:23.582000,1,True,77.893,Lando Norris
58.0,3.0,SOFT,14.0,0 days 00:00:23.045000,0 days 00:00:31.629000,0 days 00:00:23.585000,1,True,78.259,Lando Norris
59.0,3.0,SOFT,15.0,0 days 00:00:22.976000,0 days 00:00:31.411000,0 days 00:00:23.558000,1,True,77.945,Lando Norris
60.0,3.0,SOFT,16.0,0 days 00:00:22.995000,0 days 00:00:31.680000,0 days 00:00:23.596000,1,True,78.271,Lando Norris
61.0,3.0,SOFT,17.0,0 days 00:00:22.595000,0 days 00:00:31.667000,0 days 00:00:23.543000,1,True,77.805,Lando Norris
62.0,3.0,SOFT,18.0,0 days 00:00:23.013000,0 days 00:00:31.558000,0 days 00:00:23.509000,1,True,78.08,Lando Norris
63.0,3.0,SOFT,19.0,0 days 00:00:22.953000,0 days 00:00:31.706000,0 days 00:00:23.515000,1,True,78.174,Lando Norris
64.0,3.0,SOFT,20.0,0 days 00:00:22.868000,0 days 00:00:31.704000,0 days 00:00:23.710000,1,True,78.282,Lando Norris
65.0,3.0,SOFT,21.0,0 days 00:00:22.909000,0 days 00:00:31.991000,0 days 00:00:23.873000,1,True,78.773,Lando Norris
66.0,3.0,SOFT,22.0,0 days 00:00:23.436000,0 days 00:00:32.053000,0 days 00:00:24.193000,1,True,79.682,Lando Norris
2.0,1.0,SOFT,5.0,0 days 00:00:24.201000,0 days 00:00:31.900000,0 days 00:00:23.770000,1,True,79.871,Max Verstappen
3.0,1.0,SOFT,6.0,0 days 00:00:23.249000,0 days 00:00:32.086000,0 days 00:00:24.029000,1,True,79.364,Max Verstappen
4.0,1.0,SOFT,7.0,0 days 00:00:24.251000,0 days 00:00:32.339000,0 days 00:00:24.176000,1,True,80.766,Max Verstappen
5.0,1.0,SOFT,8.0,0 days 00:00:24.165000,0 days 00:00:32.393000,0 days 00:00:24.269000,1,True,80.827,Max Verstappen
6.0,1.0,SOFT,9.0,0 days 00:00:24.212000,0 days 00:00:32.383000,0 days 00:00:24.281000,1,True,80.876,Max Verstappen
7.0,1.0,SOFT,10.0,0 days 00:00:24.231000,0 days 00:00:32.481000,0 days 00:00:24.261000,1,True,80.973,Max Verstappen
